epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2918,0.02099,3.16448,1.29674,0.01807,0.05828,0.02013,0.00783,0.02063,3.06446,1.14072,0.000471522,0.000471522,0.000471522
2,138.505,0.01996,2.36162,1.22454,0.46062,0.07931,0.04616,0.01542,0.02031,2.1908,1.12728,0.00076018,0.00076018,0.00076018
3,204.975,0.01969,2.17547,1.21634,0.47006,0.0825,0.04997,0.01697,0.01997,2.07446,1.09958,0.00086021,0.00086021,0.00086021
4,271.496,0.01937,2.10137,1.18894,0.4883,0.0918,0.06116,0.02093,0.01942,1.95439,1.09235,0.000580174,0.000580174,0.000580174
5,337.633,0.01862,1.96508,1.16555,0.50797,0.10453,0.07585,0.026,0.01884,1.73202,1.05421,0.000297232,0.000297232,0.000297232
